[param : -s 0 -t 1 -c 1 -g 0.0125 -r 0.1 -d 2, ACC = 97.8, MSE = 0.0684, SCC = 0.9661253466267651]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r 1 -d 2, ACC = 97.44, MSE = 0.0768, SCC = 0.9620443260930147]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r 10 -d 2, ACC = 96.32, MSE = 0.1084, SCC = 0.9465532174881273]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r 100 -d 2, ACC = 95.12, MSE = 0.1388, SCC = 0.9319352789222426]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r 1000 -d 2, ACC = 95.0, MSE = 0.1412, SCC = 0.9307635535100904]
[param : -s 0 -t 1 -c 1 -g 0.125 -r -1000 -d 2, ACC = 0.2, MSE = 4.2284, SCC = 0.008302568963327046]
[param : -s 0 -t 1 -c 1 -g 0.125 -r -100 -d 2, ACC = 0.2, MSE = 4.2232, SCC = 0.008687846714523044]
[param : -s 0 -t 1 -c 1 -g 0.125 -r -10 -d 2, ACC = 0.9199999999999999, MSE = 3.8232, SCC = 0.00859397688281337]
[param : -s 0 -t 1 -c 1 -g 0.125 -r -1 -d 2, ACC = 96.72, MSE = 0.0976, SCC = 0.9517158243809462]
[param : -s 0 -t 1 -c 1 -g 0.125 -r -0.1 -d 2, ACC = 97.72, MSE = 0.0612, SCC = 0.9695698589166051]
[param : -s 0 -t 1 -c 1 -g 0.125 -r 0 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 0.125 -r 0.1 -d 2, ACC = 97.72, MSE = 0.0632, SCC = 0.9685870226912304]
[param : -s 0 -t 1 -c 1 -g 0.125 -r 1 -d 2, ACC = 97.8, MSE = 0.0588, SCC = 0.9707785811956252]
[param : -s 0 -t 1 -c 1 -g 0.125 -r 10 -d 2, ACC = 97.36, MSE = 0.0712, SCC = 0.9647250168950229]
[param : -s 0 -t 1 -c 1 -g 0.125 -r 100 -d 2, ACC = 96.16, MSE = 0.1068, SCC = 0.9472842228586452]
[param : -s 0 -t 1 -c 1 -g 0.125 -r 1000 -d 2, ACC = 95.16, MSE = 0.1384, SCC = 0.9321282593285363]
[param : -s 0 -t 1 -c 1 -g 1.25 -r -1000 -d 2, ACC = 0.2, MSE = 4.2232, SCC = 0.008687846714523044]
[param : -s 0 -t 1 -c 1 -g 1.25 -r -100 -d 2, ACC = 0.9199999999999999, MSE = 3.8232, SCC = 0.00859397688281337]
[param : -s 0 -t 1 -c 1 -g 1.25 -r -10 -d 2, ACC = 96.48, MSE = 0.116, SCC = 0.9427743916574989]
[param : -s 0 -t 1 -c 1 -g 1.25 -r -1 -d 2, ACC = 97.72, MSE = 0.0612, SCC = 0.9695698589166051]
[param : -s 0 -t 1 -c 1 -g 1.25 -r -0.1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 1.25 -r 0 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 1.25 -r 0.1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 1.25 -r 1 -d 2, ACC = 97.72, MSE = 0.0632, SCC = 0.9685870226912304]
[param : -s 0 -t 1 -c 1 -g 1.25 -r 10 -d 2, ACC = 97.8, MSE = 0.0588, SCC = 0.9707785811956252]
[param : -s 0 -t 1 -c 1 -g 1.25 -r 100 -d 2, ACC = 97.36, MSE = 0.0712, SCC = 0.9647250168950229]
[param : -s 0 -t 1 -c 1 -g 1.25 -r 1000 -d 2, ACC = 96.16, MSE = 0.1068, SCC = 0.9472842228586452]
[param : -s 0 -t 1 -c 1 -g 12.5 -r -1000 -d 2, ACC = 0.9199999999999999, MSE = 3.8232, SCC = 0.00859397688281337]
[param : -s 0 -t 1 -c 1 -g 12.5 -r -100 -d 2, ACC = 96.48, MSE = 0.116, SCC = 0.9427743916574989]
